FONCTIONS ET SOUS-FONCTIONS;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
01. Services généraux des administrations publiques;71.895,2;70.717,1;69.582,2;69.213,2;71.562,3;88.023,5;78.588,7;101.363,6;119.979,0;126.338,1;126.089,7
02. Défense;3.413,6;3.250,5;3.254,5;3.268,2;3.829,3;4.048,7;3.762,7;3.581,6;3.547,7;3.543,3;3.812,0
03. Ordre et sécurité publics;3.158,8;3.256,3;3.561,9;3.947,5;3.908,0;4.487,8;4.518,5;3.923,2;4.142,5;4.249,6;4.404,1
04. Affaires Économiques;4.677,3;2.874,3;4.601,4;4.850,3;5.099,7;26.311,3;6.576,4;5.103,2;9.857,5;8.149,4;5.644,6
05.  Protection de l'environnement;32,2;34,5;36,0;40,0;43,0;73,9;73,6;102,3;127,2;122,0;148,1
06.  Logements et équipements collectifs;1,2;-0,1;-0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
07.  Santé;1.556,8;424,0;350,8;381,5;435,5;448,0;504,9;4.089,9;3.435,1;2.987,4;3.012,9
08.  Loisirs, culture et culte;257,3;267,4;259,2;266,0;273,1;283,2;293,0;279,7;281,9;288,3;288,7
09.  Enseignement;3.027,5;3.246,2;3.505,6;3.724,3;3.943,4;4.248,2;4.547,9;4.700,4;5.114,6;5.440,7;5.691,2
10.  Protection sociale;15.746,6;19.914,5;21.346,1;22.262,8;23.598,8;17.080,3;19.626,1;7.761,7;8.456,3;8.081,6;8.313,7
